lat,lon
51.36,8.8
51.36,9.08
51.36,9.36
51.36,9.64
51.36,9.92
51.36,10.2
51.36,10.48
51.36,10.76
51.36,11.04
51.36,11.32
51.36,11.6
51.36,11.88
51.36,12.16
51.36,12.44
51.36,12.72
51.36,13
51.36,13.28
51.36,13.56
51.36,13.84
51.36,14.12
51.36,14.4
51.36,14.68
51.36,14.96
51.54,6
51.54,6.28
51.54,6.56
51.54,6.84
51.54,7.12
51.54,7.4
51.54,7.68
51.54,7.96
51.54,8.24
51.54,8.52
51.54,8.8
51.54,9.08
51.54,9.36
51.54,9.64
51.54,9.92
51.54,10.2
51.54,10.48
51.54,10.76
51.54,11.04
51.54,11.32
51.54,11.6
51.54,11.88
51.54,12.16
51.54,12.44
51.54,12.72
51.54,13
51.54,13.28
51.54,13.56
51.54,13.84
51.54,14.12
51.54,14.4
51.54,14.68
51.54,14.96
51.72,6
51.72,6.28
51.72,6.56
51.72,6.84
51.72,7.12
51.72,7.4
51.72,7.68
51.72,7.96
51.72,8.24
51.72,8.52
51.72,8.8
51.72,9.08
51.72,9.36
51.72,9.64
51.72,9.92
51.72,10.2
51.72,10.48
51.72,10.76
51.72,11.04
51.72,11.32
51.72,11.6
51.72,11.88
51.72,12.16
51.72,12.44
51.72,12.72
51.72,13
51.72,13.28
51.72,13.56
51.72,13.84
51.72,14.12
51.72,14.4
51.72,14.68
51.9,6
51.9,6.28
51.9,6.56
51.9,6.84
51.9,7.12
51.9,7.4
51.9,7.68
51.9,7.96
51.9,8.24
51.9,8.52
51.9,8.8
51.9,9.08
51.9,9.36
51.9,9.64
51.9,9.92
51.9,10.2
51.9,10.48
51.9,10.76
51.9,11.04
51.9,11.32
51.9,11.6
51.9,11.88
51.9,12.16
51.9,12.44
51.9,12.72
51.9,13
51.9,13.28
51.9,13.56
51.9,13.84
51.9,14.12
51.9,14.4
51.9,14.68
52.08,6.84
52.08,7.12
52.08,7.4
52.08,7.68
52.08,7.96
52.08,8.24
52.08,8.52
52.08,8.8
52.08,9.08
52.08,9.36
52.08,9.64
52.08,9.92
52.08,10.2
52.08,10.48
52.08,10.76
52.08,11.04
52.08,11.32
52.08,11.6
52.08,11.88
52.08,12.16
52.08,12.44
52.08,12.72
52.08,13
52.08,13.28
52.08,13.56
52.08,13.84
52.08,14.12
52.08,14.4
52.08,14.68
52.08,14.96
52.26,6.84
52.26,7.12
52.26,7.4
52.26,7.68
52.26,7.96
52.26,8.24
52.26,8.52
52.26,8.8
52.26,9.08
52.26,9.36
52.26,9.64
52.26,9.92
52.26,10.2
52.26,10.48
52.26,10.76
52.26,11.04
52.26,11.32
52.26,11.6
52.26,11.88
52.26,12.16
52.26,12.44
52.26,12.72
52.26,13
52.26,13.28
52.26,13.56
52.26,13.84
52.26,14.12
52.26,14.4
52.26,14.68
52.44,6.56
52.44,6.84
52.44,7.12
52.44,7.4
52.44,7.68
52.44,7.96
52.44,8.24
52.44,8.52
52.44,8.8
52.44,9.08
52.44,9.36
52.44,9.64
52.44,9.92
52.44,10.2
52.44,10.48
52.44,10.76
52.44,11.04
52.44,11.32
52.44,11.6
52.44,11.88
52.44,12.16
52.44,12.44
52.44,12.72
52.44,13
52.44,13.28
52.44,13.56
52.44,13.84
52.44,14.12
52.44,14.4
52.44,14.68
52.62,6.56
52.62,6.84
52.62,7.12
52.62,7.4
52.62,7.68
52.62,7.96
52.62,8.24
52.62,8.52
52.62,8.8
52.62,9.08
52.62,9.36
52.62,9.64
52.62,9.92
52.62,10.2
52.62,10.48
52.62,10.76
52.62,11.04
52.62,11.32
52.62,11.6
52.62,11.88
52.62,12.16
52.62,12.44
52.62,12.72
52.62,13
52.62,13.28
52.62,13.56
52.62,13.84
52.62,14.12
52.62,14.4
52.62,14.68
52.8,6.84
52.8,7.12
52.8,7.4
52.8,7.68
52.8,7.96
52.8,8.24
52.8,8.52
52.8,8.8
52.8,9.08
52.8,9.36
52.8,9.64
52.8,9.92
52.8,10.2
52.8,10.48
52.8,10.76
52.8,11.04
52.8,11.32
52.8,11.6
52.8,11.88
52.8,12.16
52.8,12.44
52.8,12.72
52.8,13
52.8,13.28
52.8,13.56
52.8,13.84
52.8,14.12
52.8,14.4
52.8,14.68
52.98,7.12
52.98,7.4
52.98,7.68
52.98,7.96
52.98,8.24
52.98,8.52
52.98,8.8
52.98,9.08
52.98,9.36
52.98,9.64
52.98,9.92
52.98,10.2
52.98,10.48
52.98,10.76
52.98,11.04
52.98,11.32
52.98,11.6
52.98,11.88
52.98,12.16
52.98,12.44
52.98,12.72
52.98,13
52.98,13.28
52.98,13.56
52.98,13.84
52.98,14.12
52.98,14.4
53.16,7.12
53.16,7.4
53.16,7.68
53.16,7.96
53.16,8.24
53.16,8.52
53.16,8.8
53.16,9.08
53.16,9.36
53.16,9.64
53.16,9.92
53.16,10.2
53.16,10.48
53.16,10.76
53.16,11.04
53.16,11.32
53.16,11.6
53.16,11.88
53.16,12.16
53.16,12.44
53.16,12.72
53.16,13
53.16,13.28
53.16,13.56
53.16,13.84
53.16,14.12
53.16,14.4
53.34,6.84
53.34,7.12
53.34,7.4
53.34,7.68
53.34,7.96
53.34,8.24
53.34,8.52
53.34,8.8
53.34,9.08
53.34,9.36
53.34,9.64
53.34,9.92
53.34,10.2
53.34,10.48
53.34,10.76
53.34,11.04
53.34,11.32
53.34,11.6
53.34,11.88
53.34,12.16
53.34,12.44
53.34,12.72
53.34,13
53.34,13.28
53.34,13.56
53.34,13.84
53.34,14.12
53.34,14.4
53.52,6.56
53.52,6.84
53.52,7.12
53.52,7.4
53.52,7.68
53.52,7.96
53.52,8.24
53.52,8.52
53.52,8.8
53.52,9.08
53.52,9.36
53.52,9.64
53.52,9.92
53.52,10.2
53.52,10.48
53.52,10.76
53.52,11.04
53.52,11.32
53.52,11.6
53.52,11.88
53.52,12.16
53.52,12.44
53.52,12.72
53.52,13
53.52,13.28
53.52,13.56
53.52,13.84
53.52,14.12
53.52,14.4
53.7,6.56
53.7,6.84
53.7,7.12
53.7,7.4
53.7,7.68
53.7,7.96
53.7,8.24
53.7,8.52
53.7,8.8
53.7,9.08
53.7,9.36
53.7,9.64
53.7,9.92
53.7,10.2
53.7,10.48
53.7,10.76
53.7,11.04
53.7,11.32
53.7,11.6
53.7,11.88
53.7,12.16
53.7,12.44
53.7,12.72
53.7,13
53.7,13.28
53.7,13.56
53.7,13.84
53.7,14.12
53.7,14.4
53.88,7.12
53.88,7.4
53.88,7.68
53.88,7.96
53.88,8.52
53.88,8.8
53.88,9.08
53.88,9.36
53.88,9.64
53.88,9.92
53.88,10.2
53.88,10.48
53.88,10.76
53.88,11.04
53.88,11.32
53.88,11.6
53.88,11.88
53.88,12.16
53.88,12.44
53.88,12.72
53.88,13
53.88,13.28
53.88,13.56
53.88,13.84
53.88,14.12
53.88,14.4
54.06,7.96
54.06,8.52
54.06,8.8
54.06,9.08
54.06,9.36
54.06,9.64
54.06,9.92
54.06,10.2
54.06,10.48
54.06,10.76
54.06,11.04
54.06,11.32
54.06,11.6
54.06,11.88
54.06,12.16
54.06,12.44
54.06,12.72
54.06,13
54.06,13.28
54.06,13.56
54.06,13.84
54.06,14.12
54.24,7.68
54.24,7.96
54.24,8.52
54.24,8.8
54.24,9.08
54.24,9.36
54.24,9.64
54.24,9.92
54.24,10.2
54.24,10.48
54.24,10.76
54.24,11.04
54.24,11.32
54.24,11.6
54.24,11.88
54.24,12.16
54.24,12.44
54.24,12.72
54.24,13
54.24,13.28
54.24,13.56
54.24,13.84
54.24,14.12
54.42,8.52
54.42,8.8
54.42,9.08
54.42,9.36
54.42,9.64
54.42,9.92
54.42,10.2
54.42,10.48
54.42,10.76
54.42,11.04
54.42,11.32
54.42,12.16
54.42,12.44
54.42,12.72
54.42,13
54.42,13.28
54.42,13.56
54.42,13.84
54.6,8.24
54.6,8.52
54.6,8.8
54.6,9.08
54.6,9.36
54.6,9.64
54.6,9.92
54.6,10.2
54.6,10.48
54.6,11.04
54.6,11.32
54.6,12.44
54.6,12.72
54.6,13
54.6,13.28
54.6,13.56
54.6,13.84
54.78,8.24
54.78,8.52
54.78,8.8
54.78,9.08
54.78,9.36
54.78,9.64
54.78,9.92
54.78,10.2
54.78,13.28
54.78,13.56
54.96,8.24
54.96,8.52
54.96,8.8
54.96,9.08
54.96,9.36
54.96,9.64
54.96,9.92
